Name,Rank,Industry,Revenues,Year,Sector,Revenues_($M)
Dell Computer Corporation,190,"Computers, Office Equipment","775,900",1997,,
Campbell Soup Company,191,Food,"767,800",1997,,
PanEnergy Corp.,192,Pipelines,"753,680",1997,,
Halliburton Company,193,"Engineering, Construction","738,510",1997,,
Eli Lilly & Company,194,Pharmaceuticals,"734,660",1997,,
"Honeywell, Inc.",195,"Scientific,Photographic and Control Equipment","731,160",1997,,
"Pharmacia & Upjohn, Inc.",196,Pharmaceuticals,"728,600",1997,,
NGC Corporation,197,Pipelines,"726,020",1997,,
Warner-Lambert Company,198,Pharmaceuticals,"723,140",1997,,
"PPG Industries, Inc.",199,Chemicals,"721,810",1997,,
Best Buy Co. Inc.,200,Specialty Retailers,"721,740",1997,,
Entergy Corporation,201,Utilities: Gas and Electric,"716,350",1997,,
"AFLAC, Inc.",202,"Insurance: Life, Health (stock)","710,020",1997,,
"Sun Microsystems, Inc.",203,"Computers, Office Equipment","709,480",1997,,
"Circuit City Group, Inc.",204,Specialty Retailers,"702,910",1997,,
Reynolds Metals Company,205,Metals,"701,600",1997,,
American General Corporation,206,Diversified Financials,"697,900",1997,,
Eaton Corporation,207,"Electronics, Electrical Equip.","696,100",1997,,
"Consolidated Edison Company of New York, Inc.",208,Utilities: Gas and Electric,"695,970",1997,,
Unicom Corporation,209,Utilities: Gas and Electric,"693,700",1997,,
Guardian Life Insurance Co. of America,210,"Insurance: Life, Health (Mutual)","690,410",1997,,
Lincoln National Corporation,211,"Insurance: Life, Health (stock)","688,280",1997,,
United Services Automobile Association,212,Insurance: Property and Casualty (Stock),"683,110",1997,,
Humana Inc.,213,Health Care,"678,800",1997,,
Ingersoll-Rand Company,214,Industrial and Farm Equipment,"670,290",1997,,
"The TJX Companies, Inc.",215,Specialty Retailers,"668,940",1997,,
Kellogg Company,216,Food,"667,660",1997,,
R.R. Donnelley & Sons Company,217,"Publishing, Printing","659,900",1997,,
ITT Corporation,218,"Hotels, Casinos, Resorts","659,700",1997,,
"Dresser Industries, Inc.",219,Industrial and Farm Equipment,"656,150",1997,,
Texas Utilities Company,220,Utilities: Gas and Electric,"655,090",1997,,
Arrow Electronics,221,Wholesalers,"653,460",1997,,
Chubb Corporation,222,Insurance: Property and Casualty (Stock),"649,740",1997,,
"Nike, Inc.",223,Apparel,"647,060",1997,,
"Tyson Foods, Inc.",224,Food,"645,380",1997,,
"Dillard Department Stores, Inc.",225,General Merchandisers,"641,210",1997,,
Unisys Corporation,226,Computer And Data Services,"637,050",1997,,
"Continental Airlines, Inc.",227,Airlines,"636,000",1997,,
PNC Bank Corp.,228,Commercial Banks,"633,380",1997,,
Tandy Corporation,229,Specialty Retailers,"628,550",1997,,
Transamerica Corporation,230,"Insurance: Life, Health (stock)","627,760",1997,,
"Anthem Insurance Companies,Inc.",231,"Insurance: Life, Health (stock)","626,960",1997,,
Lear Corporation,232,Motor Vehicles and Parts,"624,910",1997,,
Bank of Boston Corporation,233,Commercial Banks,"623,700",1997,,
"Public Service Enterprise Group, Inc.",234,Utilities: Gas and Electric,"616,960",1997,,
ARAMARK Corporation,235,Food Services,"612,250",1997,,
Ralston Purina Company,236,Food,"611,430",1997,,
Union Carbide Corporation,237,Chemicals,"610,600",1997,,
"The St. Paul Companies, Inc.",238,Insurance: Property and Casualty (Stock),"609,520",1997,,
Manpower Inc.,239,Temporary Help,"607,990",1997,,
"Office Depot, Inc.",240,Specialty Retailers,"606,860",1997,,
KeyCorp,241,Commercial Banks,"603,800",1997,,
"FPL Group, Inc.",242,Utilities: Gas and Electric,"603,680",1997,,
Champion International Corporation,243,Forest and Paper Products,"588,040",1997,,
"American Electric Power Company, Inc.",244,Utilities: Gas and Electric,"584,920",1997,,
"American Standard Companies, Inc.",245,Industrial and Farm Equipment,"580,460",1997,,
"Browning-Ferris Industries, Inc.",246,Waste Management,"577,930",1997,,
"American Brands, Inc.",247,Tobacco,"577,630",1997,,
"Borden, Inc.",248,Food,"576,510",1997,,
Navistar International Corporation,249,Motor Vehicles and Parts,"575,400",1997,,
Genuine Parts Company,250,Wholesalers,"572,050",1997,,
The Bank of New York Company,251,Commercial Banks,"571,300",1997,,
Paine Webber Group Inc.,252,Securities,"570,600",1997,,
Computer Sciences Corporation,319,Computer Software,"424,240",1997,,
James River Corporation of Virginia,253,Forest and Paper Products,"569,050",1997,,
Schering-Plough Corporation,254,Pharmaceuticals,"565,580",1997,,
Tenet Healthcare Corporation,255,Health Care,"555,900",1997,,
AmeriSource Health Corporation,256,Wholesalers,"555,170",1997,,
"Merisel, Inc.",257,Wholesalers,"552,280",1997,,
"Ryder System, Inc.",258,"Automotive Retailing, Services","551,940",1997,,
Central & South West Corporation,259,Utilities: Gas and Electric,"551,700",1997,,
Aon Corporation,324,"Insurance: Life, Health (stock)","419,120",1997,,
Avatex Corporation,260,Wholesalers,"550,230",1997,,
AMP Inc.,261,"Electronics, Electrical Equip.","546,800",1997,,
Rite Aid Corporation,262,Food and Drug Stores,"544,600",1997,,
Baxter International Inc.,263,"Scientific,Photographic and Control Equipment","543,800",1997,,
"General Mills, Inc.",264,Food,"541,600",1997,,
Case Corporation,265,Industrial and Farm Equipment,"540,900",1997,,
"The Vons Companies, Inc.",266,Food and Drug Stores,"540,740",1997,,
Food 4 Less Holdings,267,Food and Drug Stores,"534,270",1997,,
"Bindley Western Industries, Inc.",268,Wholesalers,"531,890",1997,,
"The Gap, Inc.",269,Specialty Retailers,"528,440",1997,,
"Cooper Industries, Inc.",270,"Electronics, Electrical Equip.","528,370",1997,,
W.R. Grace & Co.,271,Chemicals,"526,240",1997,,
"Cummins Engine Company, Inc.",272,Industrial and Farm Equipment,"525,700",1997,,
"Avnet, Inc.",273,Wholesalers,"520,780",1997,,
The Quaker Oats Company,274,Food,"519,900",1997,,
Stone Container Corporation,275,Forest and Paper Products,"514,180",1997,,
Wachovia Corporation,341,Commercial Banks,"401,500",1997,,
VF Corporation,276,Apparel,"513,720",1997,,
Boise Cascade Corporation,277,Forest and Paper Products,"512,270",1997,,
FMC Corporation,278,Chemicals,"512,190",1997,,
Tyco International Ltd.,279,Metal Products,"508,980",1997,,
"Revco D.S., Inc.",280,Food and Drug Stores,"508,770",1997,,
Lyondell Petrochemical Company,281,Chemicals,"508,200",1997,,
"Household International, Inc.",282,Diversified Financials,"505,880",1997,,
Millennium Chemicals Inc.,283,Chemicals,"505,700",1997,,
"Gateway 2000, Inc.",284,"Computers, Office Equipment","503,520",1997,,
Eckerd Corporation,285,Food and Drug Stores,"499,710",1997,,
"Illinois Tool Works, Inc.",286,Metal Products,"499,670",1997,,
Valero Energy Corporation,287,Petroleum Refining,"499,070",1997,,
"The Bear Stearns Companies, Inc.",288,Securities,"496,390",1997,,
First Data Corporation,289,Computer And Data Services,"493,810",1997,,
National City Corporation,290,Commercial Banks,"492,840",1997,,
The Black & Decker Corporation,291,Industrial and Farm Equipment,"491,440",1997,,
"Dominion Resources, Inc.",292,Utilities: Gas and Electric,"484,230",1997,,
"Avon Products, Inc.",293,"Soaps, Cosmetics","481,420",1997,,
"MedPartners, Inc.",294,Health Care,"481,350",1997,,
"Thrifty Payless Holdings, Inc.",295,Food and Drug Stores,"479,890",1997,,
NorAm Energy Corp.,296,Pipelines,"478,850",1997,,
Eastman Chemical Company,297,Chemicals,"478,200",1997,,
Norfolk Southern Corporation,298,Railroads,"477,000",1997,,
Mellon Bank Corporation,299,Commercial Banks,"476,200",1997,,
Duke Power Company,300,Utilities: Gas and Electric,"475,800",1997,,
The Mead Corporation,301,Forest and Paper Products,"470,650",1997,,
Bethlehem Steel Corporation,302,Metals,"467,900",1997,,
"Gannett Co., Inc.",303,"Publishing, Printing","466,510",1997,,
"PacifiCare Health Systems, Inc.",304,Health Care,"463,730",1997,,
Tech Data Corporation,305,Wholesalers,"459,890",1997,,
Paccar Inc.,306,Motor Vehicles and Parts,"458,470",1997,,
"Inland Steel Industries, Inc.",307,Metals,"458,410",1997,,
"SCI Systems, Inc.",245,"Electronics, Electrical Equip.","680,590",1997,,
"WorldCom, Inc.",309,Telecommunications,"448,510",1997,,
"Nordstrom, Inc.",310,General Merchandisers,"445,310",1997,,
"Praxair, Inc.",311,Chemicals,"444,900",1997,,
Quantum Corporation,312,Computer Peripherals,"442,270",1997,,
Allegiance Corporation,313,Health Care,"438,720",1997,,
"Waban, Inc.",314,Specialty Retailers,"437,550",1997,,
CMS Energy Corporation,315,Utilities: Gas and Electric,"433,300",1997,,
UtiliCorp United Inc.,316,Utilities: Gas and Electric,"433,230",1997,,
"PacifiCorp, Inc.",317,Utilities: Gas and Electric,"429,380",1997,,
PECO Energy Company,318,Utilities: Gas and Electric,"428,370",1997,,
Oracle Corporation,320,Computer Software,"422,330",1997,,
Corning Inc.,321,"Building Materials, Glass","419,950",1997,,
Mutual of Omaha Insurance Companies,322,"Insurance: Life, Health (Mutual)","419,910",1997,,
CoreStates Financial Corporation,323,Commercial Banks,"419,730",1997,,
FHP International Corporation,325,Health Care,"417,930",1997,,
"WellPoint Health Networks, Inc.",326,Health Care,"416,980",1997,,
"Marsh & McLennan Companies, Inc.",327,Diversified Financials,"414,900",1997,,
"Applied Materials, Inc.",328,Semiconductors,"414,480",1997,,
The LTV Corporation,329,Metals,"413,450",1997,,
The Sherwin-Williams Company,330,Chemicals,"413,290",1997,,
"American Financial Group, Inc.",331,Insurance: Property and Casualty (Stock),"411,540",1997,,
"Cisco Systems, Inc.",332,Network Communications,"409,600",1997,,
Houston Industries Incorporated,333,Utilities: Gas and Electric,"409,530",1997,,
Dover Corporation,334,Industrial and Farm Equipment,"407,630",1997,,
Supermarkets General Holdings Corporation,335,Food and Drug Stores,"406,590",1997,,
"SunTrust Banks, Inc.",336,Commercial Banks,"406,400",1997,,
Unum Corporation,337,"Insurance: Life, Health (stock)","404,270",1997,,
Foster Wheeler Corporation,338,"Engineering, Construction","404,060",1997,,
Comcast Corporation,339,Telecommunications,"403,840",1997,,
"Air Products & Chemicals, Inc.",340,Chemicals,"403,300",1997,,
Union Camp Corporation,342,Forest and Paper Products,"401,320",1997,,
Niagara Mohawk Power Corporation,343,Utilities: Gas and Electric,"399,070",1997,,
Hershey Foods Corporation,344,Food,"398,930",1997,,
Rohm & Haas Company,345,Chemicals,"398,200",1997,,
SAFECO Corporation,346,Insurance: Property and Casualty (Stock),"397,730",1997,,
"Owens-Illinois, Inc.",347,"Building Materials, Glass","397,620",1997,,
"Staples, Inc.",348,Specialty Retailers,"396,770",1997,,
"Service Merchandise Company, Inc.",349,Specialty Retailers,"395,500",1997,,
Hilton Hotels Corporation,350,"Hotels, Casinos, Resorts","394,000",1997,,
"GPU, Inc.",351,Utilities: Gas and Electric,"391,810",1997,,
"Giant Food, Inc.",352,Food and Drug Stores,"386,060",1997,,
"Pitney Bowes, Inc.",353,"Computers, Office Equipment","385,860",1997,,
"Dole Food Company, Inc.",354,Food,"384,030",1997,,
"First Bank System, Inc.",355,Commercial Banks,"383,960",1997,,
Owens-Corning,356,"Building Materials, Glass","383,200",1997,,
CompUSA Inc.,357,Specialty Retailers,"382,980",1997,,
"Barnett Banks, Inc.",358,Commercial Banks,"381,630",1997,,
Allegheny Teledyne Incorporated,359,Metals,"381,560",1997,,
Consolidated Natural Gas Company,360,Utilities: Gas and Electric,"379,430",1997,,
Northeast Utilities Service Company,361,Utilities: Gas and Electric,"379,210",1997,,
Phelps Dodge Corporation,362,Metals,"378,660",1997,,
"Mattel, Inc.",363,"Toys, Sporting Goods","378,600",1997,,
H.F. Ahmanson & Company,364,Savings Institutions,"376,660",1997,,
"Fred Meyer, Inc.",365,General Merchandisers,"372,480",1997,,
Conrail Inc.,366,Railroads,"371,400",1997,,
"Morton International, Inc.",367,Chemicals,"368,620",1997,,
CNF Transportation Inc.,368,Trucking,"366,220",1997,,
Harris Corporation,369,"Electronics, Electrical Equip.","365,930",1997,,
"Micron Technology, Inc.",370,"Electronics, Electrical Equip.","365,380",1997,,
Nucor Corporation,371,Metals,"364,700",1997,,
DTE Energy Company,372,Utilities: Gas and Electric,"364,540",1997,,
Providian Corporation,373,"Insurance: Life, Health (stock)","362,220",1997,,
"Litton Industries, Inc.",374,"Electronics, Electrical Equip.","361,150",1997,,
General Dynamics Corporation,375,Aerospace,"360,900",1997,,
Student Loan Marketing Association,376,Diversified Financials,"359,010",1997,,
LG&E Energy Corporation,377,Utilities: Gas and Electric,"358,950",1997,,
Parker Hannifin Corporation,378,Industrial and Farm Equipment,"358,640",1997,,
Universal Corporation,379,Tobacco,"357,020",1997,,
"Automatic Data Processing, Inc.",380,Computer And Data Services,"356,660",1997,,
Great Western Financial Corporation,381,Savings Institutions,"356,580",1997,,
Foundation Health Corporation,382,Health Care,"356,140",1997,,
"Trans World Airlines, Inc.",383,Airlines,"355,440",1997,,
"Intelligent Electronics, Inc.",384,Wholesalers,"354,780",1997,,
"W.W. Grainger, Inc.",385,Wholesalers,"353,720",1997,,
"The Williams Companies, Inc.",386,Pipelines,"353,120",1997,,
"MicroAge, Inc.",387,Wholesalers,"351,640",1997,,
"Computer Associates International, Inc.",388,Computer Software,"350,460",1997,,
USF&G Corporation,389,Insurance: Property and Casualty (Stock),"349,740",1997,,
Reebok International Ltd.,390,Apparel,"348,290",1997,,
The Progressive Corporation,391,Insurance: Property and Casualty (Stock),"347,840",1997,,
"MAPCO, Inc.",392,Petroleum Refining,"347,400",1997,,
The ServiceMaster Company L.P.,394,zMiscellaneous,"345,830",1997,,
Pacific Mutual Life Insurance,395,"Insurance: Life, Health (Mutual)","345,420",1997,,
"Willamette Industries, Inc.",422,Food and Drug Stores,"355,220",1997,,
Jefferson Smurfit Corporation,397,Forest and Paper Products,"341,000",1997,,
"Washington Mutual, Inc.",398,Savings Institutions,"340,850",1997,,
Southwest Airlines Co.,399,Airlines,"340,620",1997,,
The Times Mirror Company,400,"Publishing, Printing","340,100",1997,,
Sonat Inc.,401,Pipelines,"339,490",1997,,
The Olsten Corporation,402,Temporary Help,"337,770",1997,,
American Family Insurance Group,403,Insurance: Property and Casualty (Stock),"332,800",1997,,
Nash Finch Company,404,Wholesalers,"332,270",1997,,
The Turner Corporation,405,"Engineering, Construction","331,780",1997,,
Temple-Inland Inc.,393,Forest and Paper Products,"346,000",1997,,
"Kelly Services, Inc.",406,Temporary Help,"330,230",1997,,
The Penn Traffic Company,407,Food and Drug Stores,"329,650",1997,,
"Harcourt General, Inc.",408,General Merchandisers,"328,990",1997,,
"Beverly Enterprises, Inc.",409,Health Care,"328,100",1997,,
Republic New York Corporation,410,Commercial Banks,"327,920",1997,,
MBNA Corporation,411,Commercial Banks,"327,920",1997,,
Allmerica Financial Corporation,412,Insurance: Property and Casualty (Stock),"327,470",1997,,
"The Columbia Gas System, Inc.",413,Utilities: Gas and Electric,"326,980",1997,,
"Richfood Holdings, Inc.",414,Wholesalers,"325,090",1997,,
CINergy Corp.,415,Utilities: Gas and Electric,"324,270",1997,,
Masco Corporation,416,Metal Products,"323,700",1997,,
Avery Dennison Corporation,417,Forest and Paper Products,"322,250",1997,,
Florida Progress Corporation,418,Utilities: Gas and Electric,"322,110",1997,,
York International Corporation,419,Industrial and Farm Equipment,"321,850",1997,,
"Health Systems International, Inc.",420,Health Care,"320,420",1997,,
"Shaw Industries, Inc.",421,Textiles,"320,100",1997,,
The Est_e Lauder Companies Inc.,422,"Soaps, Cosmetics","319,450",1997,,
ALLTEL Corporation,423,Telecommunications,"319,240",1997,,
"Darden Restaurants, Inc.",424,Food Services,"319,180",1997,,
Engelhard Corporation,425,Chemicals,"318,440",1997,,
"OfficeMax, Inc.",426,Specialty Retailers,"317,930",1997,,
Brunswick Corporation,427,Transportation Equipment,"316,030",1997,,
"Alumax, Inc.",428,Metals,"315,930",1997,,
Baltimore Gas & Electric Company,429,Utilities: Gas and Electric,"315,320",1997,,
Long Island Lighting Company,430,Utilities: Gas and Electric,"315,070",1997,,
Echlin Inc.,431,Motor Vehicles and Parts,"312,870",1997,,
Whitman Corporation,432,Beverages,"311,130",1997,,
Olin Corporation,433,Chemicals,"310,900",1997,,
The Pittston Company,434,"Mail, Package, and Freight Delivery","310,660",1997,,
Centex Corporation,435,"Engineering, Construction","310,300",1997,,
InaCom Corp.,436,Wholesalers,"310,210",1997,,
Hormel Foods Corporation,437,Food,"309,870",1997,,
"The Reader's Digest Association, Inc.",438,"Publishing, Printing","309,810",1997,,
"Reliance Group Holdings, Inc.",439,Insurance: Property and Casualty (Stock),"309,060",1997,,
"Oxford Health Plans, Inc.",440,Health Care,"307,500",1997,,
"The McGraw-Hill Companies, Inc.",441,"Publishing, Printing","307,470",1997,,
Westvaco Corporation,442,Forest and Paper Products,"307,450",1997,,
Yellow Corporation,443,Trucking,"307,260",1997,,
"Comerica, Inc.",444,Commercial Banks,"306,970",1997,,
U.S. Bancorp,445,Commercial Banks,"306,850",1997,,
"Conseco, Inc.",446,"Insurance: Life, Health (stock)","306,540",1997,,
"Mercantile Stores Company, Inc.",447,General Merchandisers,"303,080",1997,,
Baker Hughes Incorporated,448,Industrial and Farm Equipment,"302,770",1997,,
"Owens & Minor, Inc.",449,Wholesalers,"301,900",1997,,
El Paso Natural Gas Company,450,Pipelines,"301,010",1997,,
"Hasbro, Inc.",461,Food and Drug Stores,"289,000",1997,,
Maytag Corporation,452,"Electronics, Electrical Equip.","300,170",1997,,
"Graybar Electric Company, Inc.",453,Wholesalers,"300,100",1997,,
Carolina Power & Light Company,454,Utilities: Gas and Electric,"299,570",1997,,
IMC Global Inc.,455,Chemicals,"298,100",1997,,
Hannaford Bros. Co.,456,Food and Drug Stores,"295,860",1997,,
Thermo Electron Corporation,458,"Scientific,Photographic and Control Equipment","293,260",1997,,
Aid Association for Lutherans,459,"Insurance: Life, Health (Mutual)","292,410",1997,,
"Silicon Graphics, Inc.",460,"Computers, Office Equipment","292,130",1997,,
"Harnischfeger Industries, Inc.",462,Industrial and Farm Equipment,"288,760",1997,,
"Bruno's, Inc.",463,Food and Drug Stores,"287,940",1997,,
Interstate Bakeries Corporation,464,Food,"287,820",1997,,
Newell Company,465,Metal Products,"287,280",1997,,
Western Digital Corporation,466,Computer Peripherals,"286,520",1997,,
"Fleetwood Enterprises, Inc.",467,"Engineering, Construction","286,150",1997,,
Cyprus Amax Minerals Company,468,"Mining, Crude-Oil Production","284,300",1997,,
Longs Drug Stores Corporation,469,Food and Drug Stores,"282,830",1997,,
Solectron Corporation,470,"Electronics, Electrical Equip.","281,720",1997,,
Dean Foods Company,471,Food,"281,430",1997,,
PP&L Resources,472,Utilities: Gas and Electric,"280,500",1997,,
Sonoco Products Company,473,Forest and Paper Products,"278,810",1997,,
Knight-Ridder Inc.,474,"Publishing, Printing","277,480",1997,,
Beneficial Corporation,475,Diversified Financials,"277,190",1997,,
"Becton, Dickinson and Company",476,"Scientific,Photographic and Control Equipment","276,980",1997,,
State Street Corp.,477,Commercial Banks,"274,440",1997,,
Ace Hardware Corporation,478,Wholesalers,"274,250",1997,,
General American Life Insurance,479,"Insurance: Life, Health (stock)","274,050",1997,,
APL Limited,480,Marine services,"273,910",1997,,
Phoenix Home Life Mutual Insurance,481,"Insurance: Life, Health (stock)","272,500",1997,,
"Caliber System, Inc.",482,Trucking,"271,810",1997,,
Lutheran Brotherhood,483,"Insurance: Life, Health (Mutual)","271,320",1997,,
The Caldor Corporation,484,General Merchandisers,"269,840",1997,,
"Asarco, Inc.",485,"Mining, Crude-Oil Production","269,670",1997,,
General Instrument Corporation,486,"Electronics, Electrical Equip.","268,970",1997,,
The Stanley Works,487,Metal Products,"267,080",1997,,
Golden West Financial Corporation,488,Savings Institutions,"265,650",1997,,
Northern States Power Company,489,Utilities: Gas and Electric,"265,420",1997,,
"Payless Cashways, Inc.",490,Specialty Retailers,"265,090",1997,,
Consolidated Stores Corporation,491,Specialty Retailers,"264,750",1997,,
Omnicom Group Inc.,492,"Advertising, marketing","264,170",1997,,
National Semiconductor Corporation,498,Wholesalers,"258,350",1997,,
The New York Times Company,494,"Publishing, Printing","261,500",1997,,
Witco Corporation,495,Chemicals,"259,630",1997,,
USG Corporation,496,"Building Materials, Glass","259,000",1997,,
Pacific Enterprises,497,Utilities: Gas and Electric,"258,800",1997,,
Western Atlas Inc.,499,Industrial and Farm Equipment,"258,280",1997,,
"Vencor, Inc.",500,Health Care,"257,780",1997,,
"Hughes Supply, Inc.",466,General Merchandisers,"306,010",1997,,
Boston Scientific Corporation,490,"Publishing, Printing","283,900",1997,,
General Motors Corporation,1,Motor Vehicles and Parts,"17,817,400",1998,,
Ford Motor Company,2,Motor Vehicles and Parts,"15,362,700",1998,,
Exxon Corporation,3,Petroleum Refining,"12,237,900",1998,,
"Wal-Mart Stores, Inc.",4,General Merchandisers,"11,929,900",1998,,
General Electric Company,5,"Electronics, Electrical Equip.","9,084,000",1998,,
International Business Machines Corporation,6,"Computers, Office Equipment","7,850,800",1998,,
Chrysler Corporation,7,Motor Vehicles and Parts,"6,114,700",1998,,
Mobil Corporation,8,Petroleum Refining,"5,997,800",1998,,
Philip Morris Companies Inc.,9,Tobacco,"5,611,400",1998,,
AT&T Corp.,10,Telecommunications,"5,326,100",1998,,
The Boeing Company,11,Aerospace,"4,580,000",1998,,
Texaco Inc.,12,Petroleum Refining,"4,518,700",1998,,
State Farm Insurance Companies,13,Insurance: Property and Casualty (Mutual),"4,395,700",1998,,
Hewlett-Packard Company,14,"Computers, Office Equipment","4,289,500",1998,,
"E.I. du Pont de Nemours and Company, Inc.",15,Chemicals,"4,130,400",1998,,
"Sears, Roebuck and Co.",16,General Merchandisers,"4,129,600",1998,,
Travelers Group Inc.,17,Diversified Financials,"3,760,900",1998,,
Prudential Insurance Company of America,18,"Insurance: Life, Health (stock)","3,707,300",1998,,
Chevron Corporation,19,Petroleum Refining,"3,637,600",1998,,
The Procter & Gamble Company,20,"Soaps, Cosmetics","3,576,400",1998,,
Citicorp,21,Commercial Banks,"3,469,700",1998,,
Amoco,22,Petroleum Refining,"3,283,600",1998,,
Kmart Corporation,23,General Merchandisers,"3,218,300",1998,,
"Merrill Lynch & Co., Inc.",24,Securities,"3,173,100",1998,,
"J.C. Penney Company, Inc.",25,General Merchandisers,"3,054,600",1998,,
"American International Group,Inc.",26,Insurance: Property and Casualty (Stock),"3,051,950",1998,,
The Chase Manhattan Corporation,27,Commercial Banks,"3,038,100",1998,,
Bell Atlantic Corporation,28,Telecommunications,"3,019,390",1998,,
"Motorola, Inc.",29,"Electronics, Electrical Equip.","2,979,400",1998,,
Teachers Insurance and Annuity Association College Retiremen,30,"Insurance: Life, Health (Mutual)","2,934,840",1998,,
"PepsiCo, Inc.",31,Beverages,"2,929,200",1998,,
Lockheed Martin Corporation,32,Aerospace,"2,806,900",1998,,
Fannie Mae,33,Diversified Financials,"2,777,690",1998,,
"Morgan Stanley, Dean Witter, Discover & Co.",35,Securities,"2,713,200",1998,,
The Kroger Company,36,Food and Drug Stores,"2,656,730",1998,,
Lucent Technologies,37,"Electronics, Electrical Equip.","2,636,000",1998,,
Intel Corporation,38,Semiconductors,"2,507,000",1998,,
The Allstate Corporation,39,Insurance: Property and Casualty (Stock),"2,494,900",1998,,
"SBC Communications, Inc.",40,Telecommunications,"2,485,600",1998,,
United Technologies Corporation,41,Aerospace,"2,471,300",1998,,
Compaq Computer Corporation,42,"Computers, Office Equipment","2,458,400",1998,,
Metropolitan Life Insurance Co.,43,"Insurance: Life, Health (stock)","2,437,400",1998,,
"The Home Depot, Inc.",44,Specialty Retailers,"2,415,570",1998,,
"ConAgra, Inc.",45,Food,"2,400,210",1998,,
"Merck & Co., Inc.",46,Pharmaceuticals,"2,363,690",1998,,
BankAmerica Corporation,47,Commercial Banks,"2,358,500",1998,,
GTE Corporation,48,Telecommunications,"2,326,000",1998,,
Johnson & Johnson,49,Pharmaceuticals,"2,262,900",1998,,
Safeway Inc.,50,Food and Drug Stores,"2,248,380",1998,,
The Walt Disney Company,51,Entertainment,"2,247,300",1998,,
"United Parcel Service of America, Inc.",52,"Mail, Package, and Freight Delivery","2,245,800",1998,,
"Costco Companies, Inc.",53,Specialty Retailers,"2,187,440",1998,,
NationsBank Corporation,54,Commercial Banks,"2,173,400",1998,,
USX Corporation,55,Petroleum Refining,"2,105,700",1998,,
BellSouth Corporation,56,Telecommunications,"2,056,100",1998,,
Enron,57,Pipelines,"2,027,300",1998,,
CIGNA Corporation,59,"Insurance: Life, Health (stock)","2,003,800",1998,,
The Dow Chemical Company,60,Chemicals,"2,001,800",1998,,
Sara Lee Corporation,61,Food,"1,973,400",1998,,
MCI Communications Corporation,62,Telecommunications,"1,965,300",1998,,
Loews Corporation,63,Insurance: Property and Casualty (Stock),"1,964,780",1998,,
Atlantic Richfield Company,64,Petroleum Refining,"1,927,200",1998,,
American Stores Company,65,Food and Drug Stores,"1,913,890",1998,,
"Caterpillar, Inc.",66,Industrial and Farm Equipment,"1,892,500",1998,,
New York Life Insurance Company,67,"Insurance: Life, Health (Mutual)","1,889,930",1998,,
The Coca-Cola Company,68,Beverages,"1,886,800",1998,,
Columbia/HCA Healthcare Corp.,69,Health Care,"1,881,900",1998,,
AMR Corporation,70,Airlines,"1,857,000",1998,,
"Aetna, Inc.",71,"Insurance: Life, Health (stock)","1,854,020",1998,,
Xerox Corporation,72,"Computers, Office Equipment","1,816,600",1998,,
American Express Company,73,Diversified Financials,"1,776,000",1998,,
J.P. Morgan & Co. Incorporated,74,Commercial Banks,"1,770,100",1998,,
UAL Corporation,75,Airlines,"1,737,800",1998,,
RJR Nabisco Holdings Corporation,76,Food,"1,705,700",1998,,
"Lehman Brothers Holdings, Inc.",77,Securities,"1,688,300",1998,,
Bristol-Myers Squibb Company,78,Pharmaceuticals,"1,670,120",1998,,
"Ingram Micro, Inc.",79,Wholesalers,"1,658,150",1998,,
"Supervalu, Inc.",80,Wholesalers,"1,655,190",1998,,
Duke Energy Corporation,81,Utilities: Gas and Electric,"1,630,890",1998,,
Ameritech Corporation,82,Telecommunications,"1,599,800",1998,,
"Federated Department Stores, Inc.",83,General Merchandisers,"1,566,830",1998,,
Phillips Petroleum Company,92,Food and Drug Stores,"1,468,950",1998,,
PG&E Corporation,85,Utilities: Gas and Electric,"1,539,990",1998,,
"Fleming Companies, Inc.",86,Wholesalers,"1,537,270",1998,,
"U S WEST, Inc.",87,Telecommunications,"1,535,200",1998,,
Electronic Data Systems Corporation,88,Computer And Data Services,"1,523,560",1998,,
Minnesota Mining and Manufacturing Company,89,"Scientific,Photographic and Control Equipment","1,507,000",1998,,
Sprint Corporation,90,Telecommunications,"1,487,390",1998,,
Eastman Kodak Company,91,"Scientific,Photographic and Control Equipment","1,471,300",1998,,
AlliedSignal Inc.,93,Aerospace,"1,447,200",1998,,
Sysco Corporation,94,Wholesalers,"1,445,460",1998,,
Federal Home Loan Mortgage Corp.,95,Diversified Financials,"1,439,900",1998,,
First Union Corporation,96,Commercial Banks,"1,432,900",1998,,
Fluor Corporation,97,"Engineering, Construction","1,429,850",1998,,
American Home Products Corporation,98,Pharmaceuticals,"1,419,600",1998,,
Archer Daniels Midland Company,99,Food,"1,385,330",1998,,
Raytheon Company,100,"Electronics, Electrical Equip.","1,367,350",1998,,
"Delta Air Lines, Inc.",101,Airlines,"1,359,000",1998,,
Ashland Inc.,102,Petroleum Refining,"1,356,700",1998,,
Viacom Inc.,103,Entertainment,"1,350,450",1998,,
Aluminum Company of America,104,Metals,"1,348,170",1998,,
McKesson Corporation,105,Wholesalers,"1,347,880",1998,,
Northwestern Mutual Life Insurance Company,106,"Insurance: Life, Health (Mutual)","1,342,990",1998,,
NGC Corporation,107,Pipelines,"1,337,840",1998,,
Walgreen Co.,108,Food and Drug Stores,"1,336,300",1998,,
